name,product_line,architecture,memory,memory_type,cuda_cores,tensor_cores,rt_cores,boost_clock,tdp,memory_bandwidth,price_usd,description
GeForce RTX 5070 Laptop,Consumer Laptop,Blackwell,12GB,GDDR7,5888,184,92,2.09 GHz,120W,355 GB/s,1200,"Mobile variant of RTX 5070 with 5,888 CUDA cores and 12GB GDDR7 memory. Optimized for lower power envelope at 120W compared to desktop variant. Delivers strong 1440p gaming performance with DLSS 4 support. 256-bit memory interface ensures adequate bandwidth for mobile gaming scenarios. Positioned for mid-range gaming laptops seeking balanced performance and battery longevity."
GeForce RTX 5060 Laptop,Consumer Laptop,Blackwell,8GB,GDDR7,3328,104,52,2.09 GHz,90W,213 GB/s,1099,"Entry-level mobile GPU with 3,328 CUDA cores and 8GB GDDR7 memory. Ultra-efficient 90W power draw enables passive or minimal cooling in thin laptops. 128-bit interface sufficient for 1080p gaming at high refresh rates. Includes DLSS 4 with frame generation for improved performance perception. Accessible option for casual gaming and content creation on ultraportable laptops."
GeForce RTX 5050 Laptop,Consumer Laptop,Blackwell,8GB,GDDR7,2560,80,40,2.13 GHz,70W,160 GB/s,899,"Most efficient mobile GPU with 2,560 CUDA cores and 8GB GDDR7 memory. Extremely low 70W power consumption permits passive cooling and excellent battery life. Supports DLSS 4 and AI acceleration despite minimal power draw. Suitable for ultrabooks and thin laptops requiring light gaming and creative work. 128-bit memory interface. Enables entry-level laptop gaming without specialized thermal designs."
GeForce RTX 4090,Consumer Desktop,Ada,24GB,GDDR6X,16384,512,256,2.52 GHz,450W,1.46 TB/s,1799,"Previous generation flagship still available in limited quantities. Features 16,384 CUDA cores with 24GB GDDR6X memory over 512-bit interface. Based on Ada Lovelace architecture with mature 3rd gen RT cores and 4th gen Tensor cores. Remains capable for demanding 4K gaming and professional work despite being superseded. DLSS 3 with frame generation support. Represents mature, battle-tested platform with extensive software optimization."
GeForce RTX 4080 Super,Consumer Desktop,Ada,16GB,GDDR6X,10240,320,160,2.55 GHz,320W,720 GB/s,1199,"Refresh of RTX 4080 with minor specification improvements. 10,240 CUDA cores with 16GB GDDR6X memory. 256-bit interface. Primarily available through AIB partners in limited stock as RTX 50 series ramps up. Good value proposition for 4K gaming at lower cost than RTX 5080 launch price. Mature driver support and proven performance across gaming library."
GeForce RTX 4080,Consumer Desktop,Ada,16GB,GDDR6X,10240,320,160,2.50 GHz,320W,720 GB/s,1099,"Original RTX 40 series high-end GPU with 10,240 CUDA cores and 16GB GDDR6X memory. Positioned for 4K gaming and professional applications. 256-bit memory interface. Original launch model being phased out but still available through limited stock. Strong ecosystem of optimized games and creative software. DLSS 3 support with frame generation. Excellent alternative to RTX 5080 for value-conscious buyers."
GeForce RTX 4070 Ti Super,Consumer Desktop,Ada,16GB,GDDR6X,8960,280,140,2.61 GHz,285W,576 GB/s,899,"Refresh of RTX 4070 Ti with improved specifications. 8,960 CUDA cores with 16GB GDDR6X memory over 192-bit interface. Released January 2024. Targets enthusiasts seeking high-end performance without flagship price. Limited remaining stock as RTX 50 series displaces it. DLSS 3 and ray tracing support. Strong 1440p and 4K gaming performance at reduced thermal output compared to RTX 4080."
GeForce RTX 4070 Ti,Consumer Desktop,Ada,12GB,GDDR6X,8960,280,140,2.61 GHz,285W,576 GB/s,799,"Original RTX 40 series upper-mid GPU with 8,960 CUDA cores and 12GB GDDR6X memory. Released January 2023. 192-bit memory interface providing good bandwidth relative to core count. Excellent balance of performance and efficiency. Being phased out with limited stock remaining. Target market was 1440p high-refresh and 4K gaming at high settings with DLSS."
GeForce RTX 4070 Super,Consumer Desktop,Ada,12GB,GDDR6X,5888,184,92,2.48 GHz,220W,504 GB/s,699,"Refresh of RTX 4070 released January 2024. 5,888 CUDA cores with 12GB GDDR6X memory over 192-bit interface. Excellent power efficiency per core. Positions between RTX 4070 and RTX 4070 Ti in performance hierarchy. Good 1440p gaming performance. Limited availability as RTX 50 series takes market share. DLSS 3 support. Remaining inventory provides good value alternative to RTX 5070."
GeForce RTX 4070,Consumer Desktop,Ada,12GB,GDDR6X,5888,184,92,2.48 GHz,200W,504 GB/s,599,"Original RTX 40 series mid-range GPU with 5,888 CUDA cores and 12GB GDDR6X memory. Released April 2023. Primarily replaced by RTX 5070 but available in limited quantities. 192-bit memory interface. Targets 1440p gaming at high frame rates with ray tracing enabled. Mature software ecosystem with extensive game optimization. DLSS 3 support. Good value for users prioritizing proven performance over cutting-edge."
GeForce RTX 4060 Ti,Consumer Desktop,Ada,16GB/8GB,GDDR6,4608,144,72,2.55 GHz,165W,288 GB/s,449,"Entry-mid GPU still in production with 4,608 CUDA cores. Offered in 16GB or 8GB GDDR6 configurations over 128-bit interface. Based on Ada architecture. Perfect for 1080p gaming at maximum settings with ray tracing and DLSS 3. Still relevant for light 1440p gaming. 165W power draw suitable for most PSUs. Ray tracing capable at entry level. Continued availability makes it accessible budget option."
GeForce RTX 4060,Consumer Desktop,Ada,8GB,GDDR6,3584,112,56,2.46 GHz,115W,288 GB/s,299,"Entry-level GPU continuing production. 3,584 CUDA cores with 8GB GDDR6 memory over 128-bit interface. Excellent 1080p gaming at high frame rates and settings. Ray tracing support through 3rd gen RT cores. Minimal 115W power requirement enables passive PSU sizing. Includes DLSS 3 support for enhanced performance perception. Most affordable path to modern GPU features. Ideal for budget builders and system upgrades."
H200 Tensor Core GPU,Data Center,Hopper,141GB,HBM3e,14080,440,N/A,1.44 GHz,700W,4.8 TB/s,35000,"Latest Hopper data center accelerator featuring revolutionary 141GB HBM3e memory—nearly double H100 capacity—with 4.8 TB/s bandwidth (1.4X H100). First GPU with HBM3e technology. 14,080 CUDA cores optimized for AI inference and training. Delivers 2X LLM inference performance improvement over H100. Excellent for long-context models and memory-intensive workloads. Preferred choice for generative AI deployment scaling and scientific computing with massive datasets."
H100 Tensor Core GPU,Data Center,Hopper,80GB,HBM3,18176,528,N/A,1.41 GHz,700W,3.35 TB/s,25000,"Proven Hopper generation data center workhorse with 18,176 CUDA cores and 80GB HBM3 memory. 4th gen Tensor cores with Transformer Engine for mixed-precision AI workloads. Industry-standard platform with extensive software optimization and cloud provider availability. Used across most major cloud providers (AWS, GCP, Azure). Excellent for large-scale model training and inference. Mature ecosystem with extensive application support."
H100 NVL,Data Center,Hopper,94GB,HBM3,18176,528,N/A,1.41 GHz,700W,3.35 TB/s,32000,H100 variant with NVLink interconnect featuring additional 14GB of memory. Designed for multi-GPU inference and training with ultra-low latency communication. NVLink enables efficient scaling to hundreds of GPUs. Highest performing multi-GPU configurations benefit significantly from NVLink bandwidth. Premium pricing reflects specialized interconnect. Preferred for large-scale training operations and inference clusters requiring coordinated compute.
A100 Tensor Core GPU,Data Center,Ampere,40GB/80GB,HBM2e,8192,432,N/A,1.41 GHz,250W/300W,1.935 TB/s,12000,"Mature Ampere generation data center GPU offering 8,192 CUDA cores in 40GB or 80GB HBM2e configurations. 3rd gen Tensor cores with 312 TFLOPS FP16 performance. Multi-Instance GPU (MIG) support enables partitioning into seven isolated instances for flexible workload distribution. Still widely available through cloud providers for legacy workload support. Excellent price-to-performance for AI inference. Proven reliability across production deployments worldwide."
B200 Tensor Core GPU,Data Center,Blackwell,192GB,HBM3e,21120,528,N/A,1.98 GHz,1000W,8 TB/s,45000,"Next-generation Blackwell data center accelerator featuring dual-chip design with 192GB HBM3e memory and 8 TB/s bandwidth (2.4X H100). 21,120 CUDA cores with 5th gen Tensor cores supporting FP4 and FP6 ultra-low precision formats. 5th gen NVLink enables efficient multi-GPU scaling. Delivers 3X training performance and 15X inference performance vs H100. Addresses latest challenges in multi-modal AI and large language model inference at scale."
L40S GPU,Data Center,Ada,48GB,GDDR6,18176,568,142,2.55 GHz,290W,864 GB/s,9000,"Universal data center accelerator based on Ada architecture with 18,176 CUDA cores and 48GB GDDR6 ECC memory. 4th gen Tensor cores deliver 733 TFLOPS FP8 and 91.6 TFLOPS FP32 performance. 3rd gen RT cores enable real-time graphics rendering and ray tracing. PCIe interface for easy integration into existing servers. Dual-slot full-height form factor. Excellent for graphics workloads, AI inference, and video processing simultaneously. More memory efficient than pure compute cards for diverse workloads."
L40 GPU,Data Center,Ada,48GB,GDDR6,18176,568,142,2.50 GHz,290W,864 GB/s,8000,"Standard variant of L40S with nearly identical specifications. 18,176 CUDA cores and 48GB GDDR6 ECC memory over full-height dual-slot form factor. Designed for graphics, visualization, and AI inference acceleration in data centers. 4th gen Tensor cores and 3rd gen RT cores. Primary differentiation from L40S involves minor clock speed variations and specific optimization profiles. PCIe interface for broad server compatibility. Excellent choice for heterogeneous data center workloads combining graphics and compute."
L4 GPU,Data Center,Ada,24GB,GDDR6,6144,192,142,2.51 GHz,72W,300 GB/s,3500,"Power-efficient inference accelerator with 6,144 CUDA cores and 24GB GDDR6 memory. Extremely low 72W TDP enables multiple cards per server without excessive power overhead. 4th gen Tensor cores deliver 242 TFLOPS tensor performance. Excellent density for large-scale inference deployment across data center infrastructure. PCIe 4.0 interface. Supports multiple concurrent inference streams. Most cost-effective solution for transformer inference at scale. Ideal for edge AI and cloud inference services."
T4 Tensor Core GPU,Data Center,Turing,16GB,GDDR6,2560,320,N/A,1.59 GHz,70W,320 GB/s,2000,"Legacy Turing generation inference accelerator with 2,560 CUDA cores and 16GB GDDR6 memory. Released in 2018, still available through cloud providers for existing workloads. 70W power consumption permits many cards per server. 4th gen Tensor cores specialized for inference. Limited performance vs modern L4 and newer options but proven reliable in production. Good for cost-sensitive inference of smaller models. Supported extensively across cloud platforms."
RTX Pro 6000 Blackwell,Professional Desktop,Blackwell,96GB,GDDR7,24064,440,220,2.62 GHz,600W,1.79 TB/s,7700,"Flagship professional workstation GPU with 24,064 CUDA cores and 96GB GDDR7 memory. 5th gen Tensor cores with FP4 support for local LLM acceleration and AI prototyping. 4th gen RT cores with 2X performance for photorealistic rendering. Neural graphics technologies enable 100X more ray-traced triangles. Exceptional for agentic AI, 3D modeling, 8K video editing, and scientific visualization. DisplayPort 2.1b for driving 8K at 240Hz displays."
RTX Pro 6000 Blackwell Max-Q,Professional Desktop,Blackwell,96GB,GDDR7,24064,440,220,2.62 GHz,440W,1.79 TB/s,7700,Power-optimized variant of RTX Pro 6000 Blackwell for mobile workstations and compact designs. Maintains full compute performance with reduced thermal envelope (440W vs 600W). Enables deployment in thin mobile workstations without specialized cooling. 96GB GDDR7 memory with 5th gen Tensor cores and 4th gen RT cores. Identical compute capabilities to full variant with efficient thermal design. Target market is professionals requiring desktop-class performance in portable systems.
RTX Pro 6000 Blackwell Server,Data Center,Blackwell,96GB,GDDR7,24064,440,220,2.62 GHz,600W,1.79 TB/s,8500,"Server-variant RTX Pro 6000 for data center deployment. SXM form factor enables efficient multi-GPU configurations with NVLink-style interconnects in specialized servers. Supports MIG partitioning for workload isolation. Full performance with 5th gen Tensor cores and 4th gen RT cores. 96GB GDDR7 memory. Optimized for enterprise visualization, rendering farms, and distributed AI inference. Available through major cloud providers including AWS, Google Cloud, Microsoft Azure, and CoreWeave."
RTX Pro 5000 Blackwell,Professional Desktop,Blackwell,24GB,GDDR7,8192,256,128,1.95 GHz,360W,1.02 TB/s,3700,"Mid-to-high professional GPU with 8,192 CUDA cores and 24GB GDDR7 memory. Single-slot form factor with efficient 360W power draw. 5th gen Tensor cores for AI model development and DLSS 4 support. 4th gen RT cores for advanced ray tracing in professional visualization. Excellent for smaller engineering teams and individual professionals requiring powerful workstation acceleration. Balanced between cost and performance for professional workflows."
RTX Pro 4500 Blackwell,Professional Desktop,Blackwell,24GB,GDDR7,6144,192,96,1.93 GHz,290W,768 GB/s,2300,"Upper-mid-range professional GPU with 6,144 CUDA cores and 24GB GDDR7 memory. Compact single-slot design with 290W power draw. 5th gen Tensor cores for moderate AI acceleration. 4th gen RT cores for real-time ray tracing in creative applications. Suitable for mid-size design teams and studios. Good balance of performance and affordability for professional graphics and visualization work. Supports DLSS 4 for enhanced rendering performance."
RTX Pro 4000 Blackwell,Professional Desktop,Blackwell,24GB,GDDR7,4608,144,72,1.91 GHz,215W,576 GB/s,1400,"Entry-professional GPU with 4,608 CUDA cores and 24GB GDDR7 memory. Single-slot compact form factor with minimal 215W power consumption. 5th gen Tensor cores enabling AI features in professional software. 4th gen RT cores for real-time ray tracing in design applications. Target market is small studios and individual professionals. Excellent entry point to professional-class tools and optimizations. More affordable than higher-tier models while retaining modern Blackwell architecture benefits."
RTX Pro 6880 Ada,Professional Desktop,Ada,48GB,GDDR6,13824,432,108,2.50 GHz,550W,1.46 TB/s,5500,"High-end Ada professional GPU with 13,824 CUDA cores and 48GB GDDR6 ECC memory. Dual-slot form factor. Based on mature Ada architecture. 3rd gen Tensor cores and 3rd gen RT cores. Excellent for high-end visualization, rendering, and scientific computing. Being phased out as Blackwell professional variants enter market. Limited availability through AIB partners. Proven performance across extensive professional software ecosystem."
RTX Pro 6800 Ada,Professional Desktop,Ada,48GB,GDDR6,14080,440,110,2.50 GHz,320W,1.46 TB/s,5200,"Mid-high professional GPU with 14,080 CUDA cores and 48GB GDDR6 ECC memory. Dual-slot design with better thermal profile than RTX Pro 6880. Based on Ada Lovelace architecture. 3rd gen Tensor cores for AI acceleration and 3rd gen RT cores. Extensive software optimization across professional applications. Being superseded by Blackwell variants. Good value for studios with mixed GPU deployments spanning multiple generations."
RTX Pro 6000 Ada,Professional Desktop,Ada,48GB,GDDR6,18176,568,142,2.50 GHz,290W,1.46 TB/s,6800,"Mature Ada flagship professional GPU with 18,176 CUDA cores and 48GB GDDR6 ECC memory. Dual-slot full-height form factor. 4th gen Tensor cores and 3rd gen RT cores from Ada architecture. Excellent performance across professional visualization, rendering, and VFX workflows. Extensive software ecosystem optimization. Being replaced by RTX Pro 6000 Blackwell variants. Still available through some vendors. Strong choice for studios with Ada software investments."
RTX Pro 5880 Ada,Professional Desktop,Ada,24GB,GDDR6,9216,288,72,2.50 GHz,320W,768 GB/s,3400,"Mid-range Ada professional GPU with 9,216 CUDA cores and 24GB GDDR6 ECC memory. Single-slot design with 320W power draw. Based on Ada Lovelace architecture. Provides excellent performance for mid-sized design and engineering teams. 4th gen Tensor cores and 3rd gen RT cores. Being discontinued as Blackwell variants launch. Remaining stock available at reduced pricing. Good value for cost-conscious professional deployments."
RTX Pro 5000 Ada,Professional Desktop,Ada,24GB,GDDR6,12800,400,100,2.50 GHz,250W,1.02 TB/s,3700,"Entry-high professional GPU with 12,800 CUDA cores and 24GB GDDR6 ECC memory. Single-slot compact form factor with low 250W power consumption. Based on Ada Lovelace architecture with 4th gen Tensor cores and 3rd gen RT cores. Excellent for individual professionals and small teams. Being phased out by Blackwell variants. Limited availability through some vendors. Strong performance relative to cost for professional visualization and design work."
